date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2023-02-01,sh.000027,852.9760,858.4574,843.3832,858.1188,250644500,3008518191.0000,0.785179,1,0.817010,0.000000,0.000000,0.000000,0.000000,0
2023-02-02,sh.000027,858.5913,868.4147,855.6675,859.8324,216404100,2843265885.0000,0.677917,1,0.199693,0.000000,0.000000,0.000000,0.000000,0
2023-02-03,sh.000027,859.0531,862.1886,852.0928,858.6765,266866000,3025059239.0000,0.835996,1,-0.134433,0.000000,0.000000,0.000000,0.000000,0
2023-02-06,sh.000027,855.0202,870.5219,849.0267,863.0370,169416700,2098313646.0000,0.530718,1,0.507816,0.000000,0.000000,0.000000,0.000000,0
2023-02-07,sh.000027,867.4080,869.8010,860.1781,863.9311,137209900,1727461017.0000,0.429826,1,0.103599,0.000000,0.000000,0.000000,0.000000,0
2023-02-08,sh.000027,867.8877,881.8172,863.9295,877.3627,207545700,2355155585.0000,0.650162,1,1.554707,0.000000,0.000000,0.000000,0.000000,0
2023-02-09,sh.000027,875.5203,880.9094,871.5264,880.5268,180939000,2325127431.0000,0.566813,1,0.360638,0.000000,0.000000,0.000000,0.000000,0
2023-02-10,sh.000027,883.3320,886.8278,877.4721,886.2173,182456800,2273040089.0000,0.571568,1,0.646261,0.000000,0.000000,0.000000,0.000000,0
2023-02-13,sh.000027,884.9682,895.4552,878.3732,894.1649,307528800,3826673980.0000,0.963371,1,0.896800,0.000000,0.000000,0.000000,0.000000,0
2023-02-14,sh.000027,898.7489,904.8379,893.7578,903.7310,170320400,2222103206.0000,0.533549,1,1.069836,0.000000,0.000000,0.000000,0.000000,0
2023-02-15,sh.000027,903.1270,903.8366,884.0219,888.2519,183081500,2153867699.0000,0.573525,1,-1.712799,0.000000,0.000000,0.000000,0.000000,0
2023-02-16,sh.000027,889.4741,904.3173,877.3368,882.8769,239243300,3033517860.0000,0.749458,1,-0.605121,0.000000,0.000000,0.000000,0.000000,0
2023-02-17,sh.000027,882.0521,896.6606,881.5731,882.4681,176543600,2257452273.0000,0.000000,1,-0.046303,0.000000,0.000000,0.000000,0.000000,0
2023-02-20,sh.000027,888.3804,899.7096,885.7998,896.3095,184533900,2354468255.0000,0.578074,1,1.568487,0.000000,0.000000,0.000000,0.000000,0
2023-02-21,sh.000027,898.0039,900.6977,888.9132,893.3524,200579000,2684038332.0000,0.628338,1,-0.329920,0.000000,0.000000,0.000000,0.000000,0
2023-02-22,sh.000027,891.0462,895.1957,885.9921,891.8330,133527000,1763500323.0000,0.418289,1,-0.170078,0.000000,0.000000,0.000000,0.000000,0
2023-02-23,sh.000027,891.6999,893.0032,877.6017,880.9783,138258400,1926280161.0000,0.433111,1,-1.217122,0.000000,0.000000,0.000000,0.000000,0
2023-02-24,sh.000027,889.3262,894.5549,879.2717,883.6836,170480500,1905638326.0000,0.534051,1,0.307079,0.000000,0.000000,0.000000,0.000000,0
2023-02-27,sh.000027,877.3565,888.6777,869.9149,885.9287,158042500,1964121054.0000,0.495087,1,0.254062,0.000000,0.000000,0.000000,0.000000,0
2023-02-28,sh.000027,884.9380,887.3350,878.5219,886.5271,139055500,1693796386.0000,0.435608,1,0.067545,0.000000,0.000000,0.000000,0.000000,0
2023-03-01,sh.000027,889.0333,909.5606,882.0255,907.7758,254231400,2613398765.0000,0.796410,1,2.396847,0.000000,0.000000,0.000000,0.000000,0
2023-03-02,sh.000027,909.8617,920.0405,905.1356,917.8307,297591000,3451488586.0000,0.908518,1,1.107641,0.000000,0.000000,0.000000,0.000000,0
2023-03-03,sh.000027,917.5597,926.2381,914.1111,921.7045,234325100,2830617660.0000,0.715373,1,0.422060,0.000000,0.000000,0.000000,0.000000,0
2023-03-06,sh.000027,920.5107,930.9782,912.8768,915.0544,196609400,2492605948.0000,0.600226,1,-0.721500,0.000000,0.000000,0.000000,0.000000,0
2023-03-07,sh.000027,912.4642,919.9658,900.2562,901.5500,263122800,3137571401.0000,0.803284,1,-1.475803,0.000000,0.000000,0.000000,0.000000,0
